DATE,DFF,DGS10,SP500
2010-04-06,0.2,3.98,
2010-04-07,0.19,3.89,
2010-04-08,0.19,3.91,
2010-04-09,0.19,3.9,
2010-04-10,0.19,,
2010-04-11,0.19,,
2010-04-12,0.19,3.87,
2010-04-13,0.2,3.84,
2010-04-14,0.2,3.88,
2010-04-15,0.22,3.86,
2010-04-16,0.21,3.79,
2010-04-17,0.21,,
2010-04-18,0.21,,
2010-04-19,0.2,3.83,
2010-04-20,0.2,3.82,
2010-04-21,0.2,3.77,
2010-04-22,0.2,3.8,
2010-04-23,0.2,3.84,
2010-04-24,0.2,,
2010-04-25,0.2,,
2010-04-26,0.2,3.83,
2010-04-27,0.2,3.71,
2010-04-28,0.2,3.8,
2010-04-29,0.19,3.76,
2010-04-30,0.2,3.69,
2010-05-01,0.2,,
2010-05-02,0.2,,
2010-05-03,0.2,3.72,
2010-05-04,0.21,3.63,
2010-05-05,0.21,3.58,
2010-05-06,0.2,3.41,
2010-05-07,0.2,3.45,
2010-05-08,0.2,,
2010-05-09,0.2,,
2010-05-10,0.2,3.57,
2010-05-11,0.2,3.56,
2010-05-12,0.2,3.56,
2010-05-13,0.2,3.55,
2010-05-14,0.2,3.44,
2010-05-15,0.2,,
2010-05-16,0.2,,
2010-05-17,0.21,3.47,
2010-05-18,0.21,3.38,
2010-05-19,0.2,3.36,
2010-05-20,0.2,3.25,
2010-05-21,0.2,3.2,
2010-05-22,0.2,,
2010-05-23,0.2,,
2010-05-24,0.21,3.23,
2010-05-25,0.21,3.18,
2010-05-26,0.2,3.21,
2010-05-27,0.2,3.34,
2010-05-28,0.19,3.31,
2010-05-29,0.19,,
2010-05-30,0.19,,
2010-05-31,0.19,,
2010-06-01,0.2,3.29,
2010-06-02,0.2,3.35,
2010-06-03,0.19,3.39,
2010-06-04,0.19,3.2,
2010-06-05,0.19,,
2010-06-06,0.19,,
2010-06-07,0.19,3.17,
2010-06-08,0.19,3.18,
2010-06-09,0.18,3.2,
2010-06-10,0.18,3.33,
2010-06-11,0.18,3.24,
2010-06-12,0.18,,
2010-06-13,0.18,,
2010-06-14,0.18,3.28,
2010-06-15,0.19,3.32,
2010-06-16,0.19,3.27,
2010-06-17,0.19,3.21,
2010-06-18,0.18,3.24,
2010-06-19,0.18,,
2010-06-20,0.18,,
2010-06-21,0.17,3.26,
2010-06-22,0.18,3.18,
2010-06-23,0.17,3.13,
2010-06-24,0.16,3.14,
2010-06-25,0.16,3.12,
2010-06-26,0.16,,
2010-06-27,0.16,,
2010-06-28,0.17,3.05,
2010-06-29,0.15,2.97,
2010-06-30,0.09,2.97,
2010-07-01,0.17,2.96,
2010-07-02,0.18,3.0,
2010-07-03,0.18,,
2010-07-04,0.18,,
2010-07-05,0.18,,
2010-07-06,0.18,2.95,
2010-07-07,0.18,3.0,
2010-07-08,0.17,3.04,
2010-07-09,0.18,3.07,
2010-07-10,0.18,,
2010-07-11,0.18,,
2010-07-12,0.17,3.08,
2010-07-13,0.17,3.15,
2010-07-14,0.17,3.07,
2010-07-15,0.19,3.0,
2010-07-16,0.19,2.96,
2010-07-17,0.19,,
2010-07-18,0.19,,
2010-07-19,0.19,2.99,
2010-07-20,0.18,2.98,
2010-07-21,0.18,2.9,
2010-07-22,0.18,2.96,
2010-07-23,0.19,3.02,
2010-07-24,0.19,,
2010-07-25,0.19,,
2010-07-26,0.19,3.03,
2010-07-27,0.19,3.08,
2010-07-28,0.2,3.03,
2010-07-29,0.19,3.03,
2010-07-30,0.18,2.94,
2010-07-31,0.18,,
2010-08-01,0.18,,
2010-08-02,0.19,2.99,
2010-08-03,0.19,2.94,
2010-08-04,0.19,2.98,
2010-08-05,0.19,2.94,
2010-08-06,0.18,2.86,
2010-08-07,0.18,,
2010-08-08,0.18,,
2010-08-09,0.18,2.86,
2010-08-10,0.18,2.79,
2010-08-11,0.17,2.72,
2010-08-12,0.18,2.74,
2010-08-13,0.19,2.68,
2010-08-14,0.19,,
2010-08-15,0.19,,
2010-08-16,0.2,2.58,
2010-08-17,0.2,2.64,
2010-08-18,0.19,2.64,
2010-08-19,0.19,2.58,
2010-08-20,0.2,2.62,
2010-08-21,0.2,,
2010-08-22,0.2,,
2010-08-23,0.19,2.6,
2010-08-24,0.19,2.5,
2010-08-25,0.19,2.54,
2010-08-26,0.19,2.5,
2010-08-27,0.19,2.66,
2010-08-28,0.19,,
2010-08-29,0.19,,
2010-08-30,0.19,2.54,
2010-08-31,0.21,2.47,
2010-09-01,0.19,2.58,
2010-09-02,0.19,2.63,
2010-09-03,0.19,2.72,
2010-09-04,0.19,,
2010-09-05,0.19,,
2010-09-06,0.19,,
2010-09-07,0.2,2.61,
2010-09-08,0.19,2.66,
2010-09-09,0.18,2.77,
2010-09-10,0.18,2.81,
2010-09-11,0.18,,
2010-09-12,0.18,,
2010-09-13,0.18,2.74,
2010-09-14,0.19,2.68,
2010-09-15,0.21,2.74,
2010-09-16,0.21,2.77,
2010-09-17,0.21,2.75,
2010-09-18,0.21,,
2010-09-19,0.21,,
2010-09-20,0.21,2.72,
2010-09-21,0.2,2.61,
2010-09-22,0.21,2.56,
2010-09-23,0.2,2.56,
2010-09-24,0.21,2.62,
2010-09-25,0.21,,
2010-09-26,0.21,,
2010-09-27,0.19,2.54,
2010-09-28,0.19,2.48,
2010-09-29,0.19,2.52,
2010-09-30,0.15,2.53,
2010-10-01,0.2,2.54,
2010-10-02,0.2,,
2010-10-03,0.2,,
2010-10-04,0.2,2.5,
2010-10-05,0.2,2.5,
2010-10-06,0.19,2.41,
2010-10-07,0.18,2.41,
2010-10-08,0.18,2.41,
2010-10-09,0.18,,
2010-10-10,0.18,,
2010-10-11,0.18,,
2010-10-12,0.18,2.44,
2010-10-13,0.18,2.46,
2010-10-14,0.19,2.52,
2010-10-15,0.2,2.59,
2010-10-16,0.2,,
2010-10-17,0.2,,
2010-10-18,0.19,2.52,
2010-10-19,0.19,2.5,
2010-10-20,0.19,2.51,
2010-10-21,0.19,2.57,
2010-10-22,0.19,2.59,
2010-10-23,0.19,,
2010-10-24,0.19,,
2010-10-25,0.19,2.59,
2010-10-26,0.19,2.67,
2010-10-27,0.19,2.75,
2010-10-28,0.19,2.69,
2010-10-29,0.2,2.63,
2010-10-30,0.2,,
2010-10-31,0.2,,
2010-11-01,0.2,2.66,
2010-11-02,0.2,2.63,
2010-11-03,0.2,2.67,
2010-11-04,0.19,2.53,
2010-11-05,0.18,2.58,
2010-11-06,0.18,,
2010-11-07,0.18,,
2010-11-08,0.18,2.6,
2010-11-09,0.17,2.72,
2010-11-10,0.17,2.65,
2010-11-11,0.17,,
2010-11-12,0.19,2.76,
2010-11-13,0.19,,
2010-11-14,0.19,,
2010-11-15,0.21,2.92,
2010-11-16,0.21,2.85,
2010-11-17,0.2,2.89,
2010-11-18,0.2,2.9,
2010-11-19,0.21,2.88,
2010-11-20,0.21,,
2010-11-21,0.21,,
2010-11-22,0.19,2.8,
2010-11-23,0.2,2.77,
2010-11-24,0.2,2.93,
2010-11-25,0.2,,
2010-11-26,0.2,2.87,
2010-11-27,0.2,,
2010-11-28,0.2,,
2010-11-29,0.2,2.84,
2010-11-30,0.2,2.81,
2010-12-01,0.2,2.97,
2010-12-02,0.19,3.01,
2010-12-03,0.18,3.03,
2010-12-04,0.18,,
2010-12-05,0.18,,
2010-12-06,0.18,2.95,
2010-12-07,0.17,3.15,
2010-12-08,0.17,3.26,
2010-12-09,0.16,3.23,
2010-12-10,0.16,3.32,
2010-12-11,0.16,,
2010-12-12,0.16,,
2010-12-13,0.17,3.29,
2010-12-14,0.19,3.49,
2010-12-15,0.2,3.53,
2010-12-16,0.2,3.47,
2010-12-17,0.2,3.33,
2010-12-18,0.2,,
2010-12-19,0.2,,
2010-12-20,0.21,3.36,
2010-12-21,0.2,3.35,
2010-12-22,0.19,3.36,
2010-12-23,0.19,3.41,
2010-12-24,0.19,,
2010-12-25,0.19,,
2010-12-26,0.19,,
2010-12-27,0.19,3.36,
2010-12-28,0.18,3.5,
2010-12-29,0.18,3.35,
2010-12-30,0.19,3.38,
2010-12-31,0.13,3.3,
2011-01-01,0.13,,
2011-01-02,0.13,,
2011-01-03,0.19,3.36,
2011-01-04,0.18,3.36,
2011-01-05,0.18,3.5,
2011-01-06,0.17,3.44,
2011-01-07,0.17,3.34,
2011-01-08,0.17,,
2011-01-09,0.17,,
2011-01-10,0.17,3.32,
2011-01-11,0.17,3.37,
2011-01-12,0.16,3.4,
2011-01-13,0.16,3.34,
2011-01-14,0.16,3.35,
2011-01-15,0.16,,
2011-01-16,0.16,,
2011-01-17,0.16,,
2011-01-18,0.19,3.39,
2011-01-19,0.18,3.37,
2011-01-20,0.18,3.47,
2011-01-21,0.17,3.44,
2011-01-22,0.17,,
2011-01-23,0.17,,
2011-01-24,0.18,3.43,
2011-01-25,0.17,3.35,
2011-01-26,0.17,3.45,
2011-01-27,0.17,3.42,
2011-01-28,0.17,3.36,
2011-01-29,0.17,,
2011-01-30,0.17,,
2011-01-31,0.17,3.42,
2011-02-01,0.18,3.48,
2011-02-02,0.18,3.52,
2011-02-03,0.17,3.58,
2011-02-04,0.17,3.68,
2011-02-05,0.17,,
2011-02-06,0.17,,
2011-02-07,0.17,3.68,
2011-02-08,0.16,3.75,
2011-02-09,0.15,3.65,
2011-02-10,0.15,3.7,
2011-02-11,0.15,3.64,
2011-02-12,0.15,,
2011-02-13,0.15,,
2011-02-14,0.15,3.62,
2011-02-15,0.16,3.61,
2011-02-16,0.15,3.62,
2011-02-17,0.15,3.58,
2011-02-18,0.15,3.59,
2011-02-19,0.15,,
2011-02-20,0.15,,
2011-02-21,0.15,,
2011-02-22,0.15,3.46,
2011-02-23,0.15,3.49,
2011-02-24,0.15,3.46,
2011-02-25,0.15,3.42,
2011-02-26,0.15,,
2011-02-27,0.15,,
2011-02-28,0.16,3.42,
2011-03-01,0.15,3.41,
2011-03-02,0.16,3.46,
2011-03-03,0.15,3.58,
2011-03-04,0.15,3.49,
2011-03-05,0.15,,
2011-03-06,0.15,,
2011-03-07,0.14,3.51,
2011-03-08,0.14,3.56,
2011-03-09,0.14,3.48,
2011-03-10,0.14,3.37,
2011-03-11,0.13,3.4,
2011-03-12,0.13,,
2011-03-13,0.13,,
2011-03-14,0.14,3.36,
2011-03-15,0.14,3.33,
2011-03-16,0.14,3.22,
2011-03-17,0.14,3.25,
2011-03-18,0.15,3.28,
2011-03-19,0.15,,
2011-03-20,0.15,,
2011-03-21,0.14,3.34,
2011-03-22,0.14,3.34,
2011-03-23,0.14,3.36,
2011-03-24,0.13,3.42,
2011-03-25,0.13,3.46,
2011-03-26,0.13,,
2011-03-27,0.13,,
2011-03-28,0.13,3.47,
2011-03-29,0.13,3.5,
2011-03-30,0.13,3.47,
2011-03-31,0.1,3.47,
2011-04-01,0.11,3.46,
2011-04-02,0.11,,
2011-04-03,0.11,,
2011-04-04,0.09,3.45,
2011-04-05,0.09,3.5,
2011-04-06,0.1,3.56,
2011-04-07,0.1,3.58,
2011-04-08,0.09,3.59,
2011-04-09,0.09,,
2011-04-10,0.09,,
2011-04-11,0.09,3.59,
2011-04-12,0.08,3.52,
2011-04-13,0.08,3.49,
2011-04-14,0.09,3.51,
2011-04-15,0.12,3.43,
2011-04-16,0.12,,
2011-04-17,0.12,,
2011-04-18,0.1,3.4,
2011-04-19,0.11,3.39,
2011-04-20,0.1,3.43,
2011-04-21,0.1,3.42,
2011-04-22,0.1,,
2011-04-23,0.1,,
2011-04-24,0.1,,
2011-04-25,0.1,3.39,
2011-04-26,0.09,3.34,
2011-04-27,0.09,3.39,
2011-04-28,0.09,3.34,
2011-04-29,0.09,3.32,
2011-04-30,0.09,,
2011-05-01,0.09,,
2011-05-02,0.09,3.31,
2011-05-03,0.09,3.28,
2011-05-04,0.09,3.25,
2011-05-05,0.09,3.18,
2011-05-06,0.09,3.19,
2011-05-07,0.09,,
2011-05-08,0.09,,
2011-05-09,0.09,3.17,
2011-05-10,0.09,3.23,
2011-05-11,0.09,3.19,
2011-05-12,0.09,3.22,
2011-05-13,0.09,3.18,
2011-05-14,0.09,,
2011-05-15,0.09,,
2011-05-16,0.1,3.15,
2011-05-17,0.09,3.12,
2011-05-18,0.1,3.18,
2011-05-19,0.09,3.17,
2011-05-20,0.1,3.15,
2011-05-21,0.1,,
2011-05-22,0.1,,
2011-05-23,0.1,3.13,
2011-05-24,0.1,3.12,
2011-05-25,0.09,3.13,
2011-05-26,0.09,3.07,
2011-05-27,0.1,3.07,
2011-05-28,0.1,,
2011-05-29,0.1,,
2011-05-30,0.1,,
2011-05-31,0.1,3.05,
2011-06-01,0.1,2.96,
2011-06-02,0.1,3.04,
2011-06-03,0.11,2.99,
2011-06-04,0.11,,
2011-06-05,0.11,,
2011-06-06,0.1,3.01,
2011-06-07,0.09,3.01,
2011-06-08,0.09,2.98,
2011-06-09,0.09,3.01,
2011-06-10,0.09,2.99,
2011-06-11,0.09,,
2011-06-12,0.09,,
2011-06-13,0.1,3.0,
2011-06-14,0.1,3.11,
2011-06-15,0.1,2.98,
2011-06-16,0.1,2.93,
2011-06-17,0.1,2.94,
2011-06-18,0.1,,
2011-06-19,0.1,,
2011-06-20,0.09,2.97,
2011-06-21,0.09,2.99,
2011-06-22,0.09,3.01,
2011-06-23,0.08,2.93,
2011-06-24,0.08,2.88,
2011-06-25,0.08,,
2011-06-26,0.08,,
2011-06-27,0.08,2.95,
2011-06-28,0.08,3.05,
2011-06-29,0.07,3.14,
2011-06-30,0.07,3.18,
2011-07-01,0.08,3.22,
2011-07-02,0.08,,
2011-07-03,0.08,,
2011-07-04,0.08,,
2011-07-05,0.08,3.16,
2011-07-06,0.07,3.12,
2011-07-07,0.07,3.17,
2011-07-08,0.07,3.03,
2011-07-09,0.07,,
2011-07-10,0.07,,
2011-07-11,0.07,2.94,
2011-07-12,0.06,2.92,
2011-07-13,0.06,2.92,
2011-07-14,0.06,2.98,
2011-07-15,0.06,2.94,
2011-07-16,0.06,,
2011-07-17,0.06,,
2011-07-18,0.06,2.94,
2011-07-19,0.06,2.91,
2011-07-20,0.06,2.96,
2011-07-21,0.06,3.03,
2011-07-22,0.06,2.99,
2011-07-23,0.06,,
2011-07-24,0.06,,
2011-07-25,0.06,3.03,
2011-07-26,0.06,2.99,
2011-07-27,0.07,3.01,
2011-07-28,0.08,2.98,
2011-07-29,0.11,2.82,
2011-07-30,0.11,,
2011-07-31,0.11,,
2011-08-01,0.17,2.77,
2011-08-02,0.16,2.66,
2011-08-03,0.12,2.64,
2011-08-04,0.09,2.47,
2011-08-05,0.08,2.58,
2011-08-06,0.08,,
2011-08-07,0.08,,
2011-08-08,0.11,2.4,
2011-08-09,0.1,2.2,
2011-08-10,0.1,2.17,
2011-08-11,0.09,2.34,
2011-08-12,0.1,2.24,
2011-08-13,0.1,,
2011-08-14,0.1,,
2011-08-15,0.1,2.29,
2011-08-16,0.09,2.23,
2011-08-17,0.09,2.17,
2011-08-18,0.09,2.08,
2011-08-19,0.09,2.07,
2011-08-20,0.09,,
2011-08-21,0.09,,
2011-08-22,0.09,2.1,
2011-08-23,0.08,2.15,
2011-08-24,0.08,2.29,
2011-08-25,0.08,2.23,
2011-08-26,0.09,2.19,
2011-08-27,0.09,,
2011-08-28,0.09,,
2011-08-29,0.09,2.28,
2011-08-30,0.08,2.19,
2011-08-31,0.08,2.23,
2011-09-01,0.08,2.15,
2011-09-02,0.08,2.02,
2011-09-03,0.08,,
2011-09-04,0.08,,
2011-09-05,0.08,,
2011-09-06,0.09,1.98,
2011-09-07,0.09,2.05,
2011-09-08,0.09,2.0,
2011-09-09,0.09,1.93,
2011-09-10,0.09,,
2011-09-11,0.09,,
2011-09-12,0.09,1.94,
2011-09-13,0.09,2.0,
2011-09-14,0.08,2.03,
2011-09-15,0.09,2.09,
2011-09-16,0.09,2.08,
2011-09-17,0.09,,
2011-09-18,0.09,,
2011-09-19,0.09,1.97,
2011-09-20,0.09,1.95,
2011-09-21,0.08,1.88,
2011-09-22,0.08,1.72,
2011-09-23,0.08,1.84,
2011-09-24,0.08,,
2011-09-25,0.08,,
2011-09-26,0.08,1.91,
2011-09-27,0.08,2.0,
2011-09-28,0.08,2.03,
2011-09-29,0.08,1.99,
2011-09-30,0.06,1.92,
2011-10-01,0.06,,
2011-10-02,0.06,,
2011-10-03,0.08,1.8,
2011-10-04,0.07,1.81,
2011-10-05,0.07,1.92,
2011-10-06,0.07,2.01,
2011-10-07,0.07,2.1,
2011-10-08,0.07,,
2011-10-09,0.07,,
2011-10-10,0.07,,
2011-10-11,0.07,2.18,
2011-10-12,0.07,2.24,
2011-10-13,0.07,2.19,
2011-10-14,0.07,2.26,
2011-10-15,0.07,,
2011-10-16,0.07,,
2011-10-17,0.07,2.18,
2011-10-18,0.07,2.19,
2011-10-19,0.07,2.18,
2011-10-20,0.07,2.2,
2011-10-21,0.07,2.23,
2011-10-22,0.07,,
2011-10-23,0.07,,
2011-10-24,0.07,2.25,
2011-10-25,0.07,2.14,
2011-10-26,0.08,2.23,
2011-10-27,0.07,2.42,
2011-10-28,0.07,2.34,
2011-10-29,0.07,,
2011-10-30,0.07,,
2011-10-31,0.09,2.17,
2011-11-01,0.08,2.01,
2011-11-02,0.08,2.03,
2011-11-03,0.09,2.09,
2011-11-04,0.08,2.06,
2011-11-05,0.08,,
2011-11-06,0.08,,
2011-11-07,0.08,2.04,
2011-11-08,0.08,2.1,
2011-11-09,0.08,2.0,
2011-11-10,0.08,2.04,
2011-11-11,0.08,,
2011-11-12,0.08,,
2011-11-13,0.08,,
2011-11-14,0.08,2.04,
2011-11-15,0.09,2.06,
2011-11-16,0.08,2.01,
2011-11-17,0.08,1.96,
2011-11-18,0.08,2.01,
2011-11-19,0.08,,
2011-11-20,0.08,,
2011-11-21,0.08,1.97,
2011-11-22,0.08,1.94,
2011-11-23,0.09,1.89,
2011-11-24,0.09,,
2011-11-25,0.07,1.97,
2011-11-26,0.07,,
2011-11-27,0.07,,
2011-11-28,0.08,1.97,
2011-11-29,0.08,2.0,
2011-11-30,0.1,2.08,
2011-12-01,0.08,2.11,
2011-12-02,0.08,2.05,
2011-12-03,0.08,,
2011-12-04,0.08,,
2011-12-05,0.08,2.04,
2011-12-06,0.08,2.08,
2011-12-07,0.08,2.02,
2011-12-08,0.07,1.99,
2011-12-09,0.07,2.07,
2011-12-10,0.07,,
2011-12-11,0.07,,
2011-12-12,0.07,2.03,
2011-12-13,0.07,1.96,
2011-12-14,0.07,1.92,
2011-12-15,0.07,1.92,
2011-12-16,0.07,1.86,
2011-12-17,0.07,,
2011-12-18,0.07,,
2011-12-19,0.07,1.82,
2011-12-20,0.07,1.94,
2011-12-21,0.07,1.98,
2011-12-22,0.07,1.97,
2011-12-23,0.08,2.03,
2011-12-24,0.08,,
2011-12-25,0.08,,
2011-12-26,0.08,,
2011-12-27,0.07,2.02,
2011-12-28,0.07,1.93,
2011-12-29,0.07,1.91,
2011-12-30,0.04,1.89,
2011-12-31,0.04,,
2012-01-01,0.04,,
2012-01-02,0.04,,
2012-01-03,0.07,1.97,
2012-01-04,0.07,2.0,
2012-01-05,0.07,2.02,
2012-01-06,0.07,1.98,
2012-01-07,0.07,,
2012-01-08,0.07,,
2012-01-09,0.08,1.98,
2012-01-10,0.08,2.0,
2012-01-11,0.08,1.93,
2012-01-12,0.08,1.94,
2012-01-13,0.09,1.89,
2012-01-14,0.09,,
2012-01-15,0.09,,
2012-01-16,0.09,,
2012-01-17,0.09,1.87,
2012-01-18,0.09,1.92,
2012-01-19,0.1,2.01,
2012-01-20,0.09,2.05,
2012-01-21,0.09,,
2012-01-22,0.09,,
2012-01-23,0.09,2.09,
2012-01-24,0.09,2.08,
2012-01-25,0.08,2.01,
2012-01-26,0.08,1.96,
2012-01-27,0.09,1.93,
2012-01-28,0.09,,
2012-01-29,0.09,,
2012-01-30,0.09,1.87,
2012-01-31,0.11,1.83,
2012-02-01,0.11,1.87,
2012-02-02,0.11,1.86,
2012-02-03,0.11,1.97,
2012-02-04,0.11,,
2012-02-05,0.11,,
2012-02-06,0.11,1.93,
2012-02-07,0.11,2.0,
2012-02-08,0.11,2.01,
2012-02-09,0.11,2.04,
2012-02-10,0.12,1.96,
2012-02-11,0.12,,
2012-02-12,0.12,,
2012-02-13,0.12,1.99,
2012-02-14,0.12,1.92,
2012-02-15,0.12,1.93,
2012-02-16,0.11,1.99,
2012-02-17,0.09,2.01,
2012-02-18,0.09,,
2012-02-19,0.09,,
2012-02-20,0.09,,
2012-02-21,0.1,2.05,
2012-02-22,0.08,2.01,
2012-02-23,0.08,1.99,
2012-02-24,0.09,1.98,
2012-02-25,0.09,,
2012-02-26,0.09,,
2012-02-27,0.1,1.92,
2012-02-28,0.1,1.94,
2012-02-29,0.1,1.98,
2012-03-01,0.11,2.03,
2012-03-02,0.11,1.99,
2012-03-03,0.11,,
2012-03-04,0.11,,
2012-03-05,0.11,2.0,
2012-03-06,0.11,1.96,
2012-03-07,0.11,1.98,
2012-03-08,0.11,2.03,
2012-03-09,0.12,2.04,
2012-03-10,0.12,,
2012-03-11,0.12,,
2012-03-12,0.12,2.04,
2012-03-13,0.12,2.14,
2012-03-14,0.13,2.29,
2012-03-15,0.14,2.29,
2012-03-16,0.15,2.31,
2012-03-17,0.15,,
2012-03-18,0.15,,
2012-03-19,0.15,2.39,
2012-03-20,0.15,2.38,
2012-03-21,0.15,2.31,
2012-03-22,0.14,2.29,
2012-03-23,0.14,2.25,
2012-03-24,0.14,,
2012-03-25,0.14,,
2012-03-26,0.14,2.26,
2012-03-27,0.14,2.2,
2012-03-28,0.13,2.21,
2012-03-29,0.13,2.18,
2012-03-30,0.09,2.23,
2012-03-31,0.09,,
2012-04-01,0.09,,
2012-04-02,0.15,2.22,
2012-04-03,0.15,2.3,
2012-04-04,0.15,2.25,
2012-04-05,0.15,2.19,
2012-04-06,0.12,2.07,
2012-04-07,0.12,,
2012-04-08,0.12,,
2012-04-09,0.16,2.06,
2012-04-10,0.15,2.01,
2012-04-11,0.16,2.05,
2012-04-12,0.15,2.08,
2012-04-13,0.15,2.02,
2012-04-14,0.15,,
2012-04-15,0.15,,
2012-04-16,0.15,2.0,
2012-04-17,0.16,2.03,
2012-04-18,0.15,2.0,
2012-04-19,0.13,1.98,
2012-04-20,0.12,1.99,
2012-04-21,0.12,,
2012-04-22,0.12,,
2012-04-23,0.13,1.96,
2012-04-24,0.14,2.0,
2012-04-25,0.15,2.01,
2012-04-26,0.14,1.98,
2012-04-27,0.13,1.96,
2012-04-28,0.13,,
2012-04-29,0.13,,
2012-04-30,0.16,1.95,
2012-05-01,0.16,1.98,
2012-05-02,0.15,1.96,
2012-05-03,0.15,1.96,
2012-05-04,0.16,1.91,
2012-05-05,0.16,,
2012-05-06,0.16,,
2012-05-07,0.16,1.92,
2012-05-08,0.16,1.88,
2012-05-09,0.15,1.87,
2012-05-10,0.15,1.89,
2012-05-11,0.15,1.84,
2012-05-12,0.15,,
2012-05-13,0.15,,
2012-05-14,0.16,1.78,
2012-05-15,0.16,1.76,
2012-05-16,0.16,1.76,
2012-05-17,0.16,1.7,
2012-05-18,0.16,1.71,
2012-05-19,0.16,,
2012-05-20,0.16,,
2012-05-21,0.16,1.75,
2012-05-22,0.16,1.79,
2012-05-23,0.15,1.73,
2012-05-24,0.15,1.77,
2012-05-25,0.15,1.75,
2012-05-26,0.15,,
2012-05-27,0.15,,
2012-05-28,0.15,,
2012-05-29,0.16,1.74,
2012-05-30,0.16,1.63,
2012-05-31,0.16,1.59,
2012-06-01,0.16,1.47,
2012-06-02,0.16,,
2012-06-03,0.16,,
2012-06-04,0.17,1.53,
2012-06-05,0.17,1.57,
2012-06-06,0.16,1.66,
2012-06-07,0.16,1.66,
2012-06-08,0.17,1.65,
2012-06-09,0.17,,
2012-06-10,0.17,,
2012-06-11,0.17,1.6,
2012-06-12,0.16,1.67,
2012-06-13,0.17,1.61,
2012-06-14,0.17,1.64,
2012-06-15,0.18,1.6,
2012-06-16,0.18,,
2012-06-17,0.18,,
2012-06-18,0.17,1.59,
2012-06-19,0.17,1.64,
2012-06-20,0.16,1.65,
2012-06-21,0.17,1.63,
2012-06-22,0.17,1.69,
2012-06-23,0.17,,
2012-06-24,0.17,,
2012-06-25,0.17,1.63,
2012-06-26,0.16,1.66,
2012-06-27,0.15,1.65,
2012-06-28,0.15,1.6,
2012-06-29,0.09,1.67,
2012-06-30,0.09,,
2012-07-01,0.09,,
2012-07-02,0.18,1.61,
2012-07-03,0.17,1.65,
2012-07-04,0.17,,
2012-07-05,0.17,1.62,
2012-07-06,0.17,1.57,
2012-07-07,0.17,,
2012-07-08,0.17,,
2012-07-09,0.17,1.53,
2012-07-10,0.17,1.53,
2012-07-11,0.17,1.54,
2012-07-12,0.18,1.5,
2012-07-13,0.19,1.52,
2012-07-14,0.19,,
2012-07-15,0.19,,
